,Tompkins
0,20.0
1,20.0
2,18.666666666666668
3,19.0
4,19.0
5,19.666666666666668
6,19.666666666666668
7,18.666666666666668
8,19.0
9,19.0
10,19.333333333333332
11,19.666666666666668
12,19.666666666666668
13,19.666666666666668
14,18.333333333333332
15,20.0
16,20.333333333333332
17,20.0
18,19.0
19,17.666666666666668
20,18.666666666666668
21,19.333333333333332
22,18.333333333333332
23,20.333333333333332
24,19.333333333333332
25,19.0
26,19.0
27,20.666666666666668
28,19.0
29,17.666666666666668
30,18.666666666666668
31,19.333333333333332
32,17.333333333333332
33,19.0
34,18.333333333333332
35,17.666666666666668
36,19.333333333333332
37,19.333333333333332
38,20.0
39,22.0
40,21.666666666666668
41,18.666666666666668
42,17.666666666666668
43,21.0
44,20.0
45,20.0
46,19.333333333333332
47,21.666666666666668
48,21.666666666666668
49,19.333333333333332
50,18.666666666666668
51,18.0
52,17.666666666666668
53,19.0
54,19.0
55,16.666666666666668
56,19.333333333333332
57,19.666666666666668
58,19.666666666666668
59,18.333333333333332
60,17.333333333333332
61,18.666666666666668
62,18.0
63,18.666666666666668
64,19.333333333333332
65,19.666666666666668
66,15.666666666666666
67,19.0
68,17.333333333333332
69,19.666666666666668
70,19.333333333333332
71,18.333333333333332
72,18.333333333333332
73,21.333333333333332
74,17.666666666666668
75,17.666666666666668
76,20.0
77,18.666666666666668
78,19.0
79,19.0
80,19.666666666666668
81,18.0
82,19.666666666666668
83,18.666666666666668
84,18.333333333333332
85,20.333333333333332
86,19.666666666666668
87,19.0
88,19.333333333333332
89,19.333333333333332
90,19.333333333333332
91,17.666666666666668
92,18.333333333333332
93,18.666666666666668
94,19.0
95,18.333333333333332
96,19.333333333333332
97,18.666666666666668
98,16.333333333333332
99,18.0
100,18.333333333333332
101,19.666666666666668
102,18.0
103,20.0
104,19.333333333333332
105,18.333333333333332
106,17.0
107,19.333333333333332
108,17.333333333333332
109,17.333333333333332
110,19.0
111,18.0
112,18.666666666666668
113,19.0
114,19.0
115,17.666666666666668
116,18.666666666666668
117,17.666666666666668
118,19.333333333333332
119,20.0
120,20.666666666666668
121,18.666666666666668
122,20.0
123,19.666666666666668
124,16.666666666666668
125,17.666666666666668
126,20.0
127,19.333333333333332
128,17.666666666666668
129,19.333333333333332
130,18.0
131,18.666666666666668
132,17.0
133,19.0
134,18.666666666666668
135,18.666666666666668
136,19.666666666666668
137,18.0
138,19.333333333333332
139,19.666666666666668
140,18.333333333333332
141,18.666666666666668
142,20.0
143,18.666666666666668
144,19.666666666666668
145,18.0
146,18.333333333333332
147,18.333333333333332
148,17.666666666666668
149,19.666666666666668
150,20.0
151,18.0
152,19.0
153,17.666666666666668
154,19.666666666666668
155,19.333333333333332
156,18.0
157,19.333333333333332
158,19.0
159,19.333333333333332
160,19.0
161,17.333333333333332
162,18.333333333333332
163,19.666666666666668
164,20.0
165,19.0
166,17.333333333333332
167,20.333333333333332
168,17.666666666666668
169,19.333333333333332
170,18.666666666666668
171,14.666666666666666
172,18.333333333333332
173,18.333333333333332
174,20.333333333333332
175,19.333333333333332
176,18.666666666666668
177,18.666666666666668
178,18.0
179,18.0
180,21.333333333333332
181,20.0
182,19.666666666666668
183,15.666666666666666
184,19.333333333333332
185,18.666666666666668
186,19.666666666666668
187,19.666666666666668
188,18.666666666666668
189,19.666666666666668
190,20.333333333333332
191,18.0
192,18.0
193,19.0
194,17.666666666666668
195,17.666666666666668
196,17.0
197,16.333333333333332
198,17.333333333333332
199,18.666666666666668
200,20.0
201,19.333333333333332
202,17.333333333333332
203,17.666666666666668
204,17.666666666666668
205,17.0
206,16.333333333333332
207,17.0
208,17.333333333333332
209,19.666666666666668
210,18.666666666666668
211,19.333333333333332
212,20.0
213,17.666666666666668
214,17.666666666666668
215,10.333333333333334
