,MDF_EXP
175,160.55500495539908
176,153.36068160302688
177,126.37362637362553
178,124.54695222405122
179,127.18894009216697
180,138.5059313882642
181,128.27988338192748
182,130.80568720378923
183,130.952380952376
184,121.58428001228233
185,126.03437301082083
186,117.45513866231613
187,123.05779987569633
188,125.95419847328223
189,127.78315585672887
190,126.67946257197609
191,122.4868543148781
192,127.93572311495444
193,136.4535266974244
194,133.33333333333107
195,146.1988304093536
196,167.23443790647258
197,156.91158156911584
198,161.79775280898872
199,179.45619335347422
200,178.67435158501436
201,183.27676643011412
202,159.8158500493258
203,163.95575797007174
204,168.22429906542052
205,163.84915474642398
206,168.3765841882921
207,126.64423371061477
208,168.27852998065757
209,147.8672985781989
210,152.26586102719037
211,157.33247005503378
212,141.99029126213614
213,116.39185257032005
214,118.27284105131443
215,116.34349030470962
216,110.7871720116619
217,145.74898785425123
218,164.43361753958555
219,150.5307172724347
220,146.723182262798
221,161.0738255033565
222,152.73412947831528
223,153.21563682219352
224,153.0912659470069
225,153.75228798047578
226,149.5685522531159
227,157.56112284938098
228,153.94013439218048
229,143.40344168260066
230,145.839825490808
231,141.21907060953512
232,156.96044845842354
233,155.651636812848
234,155.27156549520845
235,162.94508147254137
236,140.2142161635835
237,145.2964917727412
238,146.65057332528724
239,145.02634025410606
240,143.28358208955206
241,141.40752864157113
242,142.48021108179236
243,142.85714285714226
244,142.15202369200404
245,142.7627230667543
246,145.43194530764575
247,145.77259475218548
248,142.85714285714286
249,146.3414634146346
250,147.31736889966652
251,149.25373134328427
252,155.50755939524907
253,159.09090909090992
254,156.21986499518005
255,155.22388059701387
256,151.213441194774
257,153.44262295082024
258,143.20685434516545
259,137.7410468319561
260,144.13304588851184
261,150.3247757500761
262,142.22503160556317
263,153.89487017099466
264,144.7124304267165
265,144.44444444444355
266,143.09373964888957
267,138.46153846153945
268,143.14115308151173
269,141.2688031393076
270,143.42629482071717
271,148.5638824694615
272,145.5839534131356
273,144.23076923076954
274,146.8189233278968
275,142.76649746192902
276,146.98492462311702
277,142.8135489777241
278,148.17073170731933
279,145.07129572225517
280,143.3311214333102
281,142.01183431952683
282,147.5893735651038
283,146.05647517039787
284,142.54038644282423
285,144.9814126394038
286,153.84615384615282
287,144.92753623188375
288,150.57915057914875
289,138.28425096030625
290,149.35464044253348
291,163.15959857559147
292,146.3890696161353
293,146.24634384140728
294,153.79746835443083
295,142.10526315789326
296,148.9080079417614
297,157.69712140175426
298,152.45009074410189
299,142.90250873293107
300,156.06936416185147
301,148.36795252225332
302,151.3583441138396
303,148.3063777845581
304,155.27538155275448
305,150.91905836826615
306,147.1698113207528
307,142.07650273224021
308,146.69483851494167
309,147.5409836065563
310,144.5550915515596
311,155.07692307692741
312,143.49489795918623
313,156.96044845842354
314,143.3577572475306
315,151.5907673112905
316,150.7444168734491
317,144.18455623197886
318,141.6430594900861
319,142.67596702599892
320,139.44840409048365
321,149.07975460122844
322,155.27538155275096
323,151.6034985422746
324,148.98835070508733
325,147.73473407747738
326,150.96774193548498
327,148.48762603116606
328,152.1279806821617
329,154.33470943156553
330,152.34375000000324
331,153.79920659139358
332,151.11398127219988
333,153.23806628154406
334,155.71932073053716
335,152.1279806821586
336,154.38373570520957
337,148.71116986120407
338,151.16640746500735
339,155.27538155275096
340,153.5545023696689
341,152.1279806821617
342,142.90250873293107
343,144.8916408668702
344,148.02631578947214
345,153.42465753424594
346,168.43418590143747
347,163.63636363636363
348,154.45544554455586
349,148.21591948764473
350,149.03403863845284
351,145.72538860103685
352,142.09030628354978
353,149.49246385727892
354,147.97763893456283
355,143.5406698564587
356,138.6321626617354
357,141.94722474976948
358,142.03338391502257
359,146.69483851493862
360,144.62299134734286
361,141.22262177182017
362,148.36795252225664
363,142.4050632911366
364,144.89164086687327
365,152.3579201934707
366,143.90789894467758
367,143.54066985646185
368,141.64305949008912
369,150.00000000000063
370,142.76272306675912
371,142.7627230667527
372,148.0263157894688
373,145.7725947521839
374,152.49450894257757
375,147.0107807905907
376,141.73228346456796
377,150.79118833385357
378,148.95729890764406
379,152.5902668759794
380,143.09373964888795
381,147.05882352941111
382,144.41591784338752
383,141.33165829145867
384,154.8862937922537
385,146.29388816644672
386,141.95583596213982
387,140.44943820224336
388,152.30335318081308
389,146.34146341463415
390,143.4948979591831
391,141.8216199180565
392,107.37833594976452
393,116.30769230769232
394,120.87912087912085
395,113.43283582089555
396,105.98626104023548
397,122.4093264248705
398,114.28571428571428
399,124.80302552789156
400,128.01484230055655
401,131.54689403166878
402,141.33165829145716
403,100.69101678183603
404,126.19502868068858
405,150.46439628482995
406,123.12703583061871
407,145.88528678304206
408,146.81892332789556
409,161.50990099009888
410,157.58754863813226
411,112.00995644057274
412,105.2955665024629
413,109.0909090909091
414,112.83404816892092
415,110.50080775444269
416,104.21357349630154
417,113.56466876971612
418,101.69491525423724
419,116.23616236162329
420,110.0244498777509
421,130.86582947785882
422,111.50961851972585
423,104.31423052157095
424,136.53603034133988
425,118.27284105131443
426,110.97410604192356
427,110.5990783410136
428,101.39165009940355
429,106.22950819672111
430,115.31069827033984
431,120.38216560509518
432,112.78195488721819
433,111.87072715972631
434,104.17301248857757
435,114.13043478260907
436,106.1598951507213
437,104.71881060116355
438,121.1150272348596
439,113.02982731554151
440,106.80824484697109
441,104.42748091602982
442,109.32280595202035
443,105.77864838393694
444,105.4687499999999
445,120.57416267942662
446,119.50679734429255
447,111.73184357542009
448,105.32799507237404
449,120.03637465898754
450,100.85695451549213
451,105.29736756581092
452,115.01597444089515
453,113.92405063291172
454,106.44257703081196
455,114.06155703077778
456,110.93091144988674
457,116.31663974151797
458,108.1593927893742
459,113.45729593444642
460,111.21408711770195
461,104.81152313821637
462,119.44260119442652
463,111.94762684124444
464,110.60802069857753
465,114.61318051576026
466,113.74407582938561
467,106.47571606475564
468,110.9057301293895
469,114.54545454545455
470,119.0476190476199
471,116.65586519766725
472,121.89616252821763
473,113.38582677165314
474,101.82275298554461
475,110.9057301293895
476,115.91536338546332
477,119.52912767884136
478,105.9169663288675
479,104.88831337002193
480,108.77862595419829
481,113.78002528445053
482,111.87072715972513
483,99.87669543773173
484,119.89100817438579
485,106.96599537801349
486,110.60802069857753
487,110.25145067698347
488,113.96011396011671
489,113.31444759206886
490,105.58814448904025
491,110.09174311926743
492,108.7284808215044
493,106.05564648118013
494,105.2289704449498
495,120.38216560509518
496,108.26210826210854
497,100.46511627906978
498,116.6306695464368
499,120.14563106796102
500,107.24925521350615
501,111.07502435855811
502,110.18041237113253
503,113.49306431273472
504,118.34690043832335
505,111.17974058060571
506,110.36174126302996
507,119.56521739130474
508,111.58238172920281
509,122.25097024579622
510,114.28571428571428
511,113.88801012337903
512,111.55872327238929
513,110.83743842364603
514,119.36339522546477
515,106.71936758893396
516,110.78717201165975
517,115.7556270096475
518,108.29639012032958
519,107.21003134796361
520,110.80332409972141
521,115.20877781164218
