,ST_EXP
532,127.5
533,120.0
534,180.0
535,172.5
536,127.5
537,142.5
538,157.5
539,120.0
540,180.0
541,150.0
542,157.5
543,127.5
544,165.0
545,150.0
546,120.0
547,165.0
548,157.5
549,172.5
550,157.5
551,142.5
552,150.0
553,165.0
554,120.0
555,172.5
556,142.5
557,120.0
558,157.5
559,120.0
560,142.5
561,120.0
562,135.0
563,142.5
564,127.5
565,120.0
566,127.5
567,127.5
568,180.0
569,127.5
570,172.5
571,180.0
572,120.0
573,172.5
574,135.0
575,157.5
576,142.5
577,127.5
578,127.5
579,150.0
580,127.5
581,172.5
582,157.5
583,172.5
584,120.0
585,127.5
586,157.5
587,135.0
588,142.5
589,142.5
590,142.5
591,172.5
592,157.5
593,172.5
594,127.5
595,187.5
596,142.5
597,172.5
598,142.5
599,172.5
600,142.5
601,172.5
602,157.5
603,165.0
604,157.5
605,142.5
606,157.5
607,150.0
608,172.5
609,142.5
610,187.5
611,150.0
612,165.0
613,157.5
614,187.5
615,127.5
616,202.5
617,172.5
618,142.5
619,157.5
620,142.5
621,157.5
622,157.5
623,187.5
624,127.5
625,172.5
626,142.5
627,157.5
628,150.0
629,142.5
630,157.5
631,157.5
632,187.5
633,142.5
634,172.5
635,142.5
636,172.5
637,142.5
638,172.5
639,142.5
640,142.5
641,135.0
642,142.5
643,157.5
644,157.5
645,157.5
646,142.5
647,142.5
648,172.5
649,172.5
650,142.5
651,180.0
652,142.5
653,172.5
654,142.5
655,172.5
656,135.0
657,172.5
658,142.5
659,172.5
660,157.5
661,142.5
662,142.5
663,142.5
664,157.5
665,142.5
666,172.5
667,127.5
668,187.5
669,112.5
670,172.5
671,142.5
672,172.5
673,142.5
674,142.5
675,127.5
676,157.5
677,127.5
678,127.5
679,157.5
680,142.5
681,157.5
682,157.5
683,180.0
684,142.5
685,172.5
686,157.5
687,172.5
688,127.5
689,142.5
690,172.5
691,142.5
692,142.5
693,187.5
694,172.5
695,142.5
696,157.5
697,142.5
698,142.5
699,142.5
700,172.5
701,127.5
702,142.5
703,157.5
704,127.5
705,142.5
706,112.5
707,142.5
708,127.5
709,172.5
710,157.5
711,172.5
712,157.5
713,127.5
714,127.5
715,127.5
716,142.5
717,165.0
718,157.5
719,127.5
720,142.5
721,157.5
722,127.5
723,187.5
724,172.5
725,187.5
726,180.0
727,172.5
728,187.5
729,165.0
730,180.0
731,187.5
732,195.0
733,142.5
734,157.5
735,172.5
736,187.5
737,202.5
738,157.5
739,187.5
740,157.5
741,172.5
742,157.5
743,172.5
744,172.5
745,142.5
746,187.5
747,142.5
748,165.0
749,157.5
750,187.5
751,157.5
752,172.5
753,165.0
754,150.0
755,142.5
756,172.5
757,157.5
758,187.5
759,172.5
760,172.5
761,187.5
762,142.5
763,157.5
764,165.0
765,165.0
766,157.5
767,187.5
768,172.5
769,172.5
770,157.5
771,157.5
772,142.5
773,157.5
774,187.5
775,142.5
776,172.5
777,157.5
778,187.5
779,142.5
780,172.5
781,157.5
782,172.5
783,180.0
784,37.5
785,112.5
786,60.0
787,52.5
788,97.5
789,37.5
790,142.5
791,97.5
792,75.0
793,142.5
794,142.5
795,82.5
796,90.0
797,112.5
798,120.0
799,112.5
800,187.5
801,172.5
802,187.5
803,187.5
804,240.0
805,127.5
806,127.5
807,127.5
808,127.5
809,255.0
810,172.5
811,127.5
812,247.5
813,225.0
814,157.5
815,172.5
816,127.5
817,135.0
818,127.5
819,225.0
820,202.5
821,217.5
822,202.5
823,135.0
824,127.5
825,127.5
826,127.5
827,127.5
828,165.0
829,157.5
830,112.5
831,225.0
832,112.5
833,187.5
834,187.5
835,187.5
836,90.0
837,142.5
838,165.0
839,195.0
840,157.5
841,127.5
842,210.0
843,157.5
844,105.0
845,142.5
846,217.5
847,67.5
848,97.5
849,172.5
850,142.5
851,142.5
852,202.5
853,127.5
854,67.5
855,172.5
856,112.5
