,MAV
0,0.16785278417233185
1,0.15966634076708863
2,0.15556850107176434
3,0.17552954763690798
4,0.14883057786251874
5,0.14845616198215822
6,0.1885988675761518
7,0.14993781531259143
8,0.1639040115630886
9,0.13888196877132686
10,0.1651293322731161
11,0.18402061505420148
12,0.1667776384770151
13,0.1976033794010717
14,0.14254018534395596
15,0.2059395385756888
16,0.16015854510891098
17,0.1577551189842204
18,0.14886976737800112
19,0.1344718023005236
20,0.17776538516261836
21,0.17263903805176828
22,0.15541594300273565
23,0.17072889220098694
24,0.15628549930411517
25,0.184008224116819
26,0.15353575415639173
27,0.1634041642351744
28,0.1377681224000889
29,0.16271011071624078
30,0.1517417698650952
31,0.1850628377300535
32,0.12048070353745934
33,0.17224895573136723
34,0.15444469501089586
35,0.18247766027226725
36,0.1962087341496589
37,0.18116867215180738
38,0.15699794388869343
39,0.12973836997212337
40,0.2333049570456435
41,0.16681867412294832
42,0.15555703708498805
43,0.2498144524155935
44,0.16324412310623737
45,0.15908193589917835
46,0.19479909019126668
47,0.18350814535107876
48,0.21322533882062047
49,0.2157033658455324
50,0.16689831411870154
51,0.149307030779895
52,0.16435600666672076
53,0.1641728269295623
54,0.16832140113182162
55,0.16870623651012362
56,0.13802527646779733
57,0.18081968375953367
58,0.14897106266989735
59,0.17305756415161044
60,0.14959208821911857
61,0.17097776671908432
62,0.1833292832766139
63,0.21589974554466773
64,0.1704647276425404
65,0.13466628381697685
66,0.13114723416891055
67,0.19379448023042684
68,0.16413949474243447
69,0.1986418796464651
70,0.22360098163908368
71,0.1598086432865425
72,0.14686281885939045
73,0.21212914127736318
74,0.1821875815494783
75,0.15323193055610188
76,0.19981126599024968
77,0.15303081079563452
78,0.17341591385807292
79,0.1765058826243087
80,0.173922608877596
81,0.15659115024548304
82,0.22804306240124933
83,0.1764677210579882
84,0.1752898393798109
85,0.16730958808640917
86,0.13728593370265207
87,0.14489943760039742
88,0.16896290358418875
89,0.16748947066425385
90,0.20430769170274132
91,0.15257341719078304
92,0.13334503486732144
93,0.17073029781547652
94,0.15989613584384513
95,0.14818041356779577
96,0.1830434612270981
97,0.1586577980448192
98,0.12997448423867813
99,0.1606298990479963
100,0.16827778352920264
101,0.14671355742379277
102,0.14156555939059162
103,0.16667274099238816
104,0.1617880815462603
105,0.15969212228908544
106,0.16198107492923933
107,0.1772389854673084
108,0.1666222840736471
109,0.14798043491187557
110,0.17909887535505628
111,0.13096791951672707
112,0.18815413287836413
113,0.1905996576451413
114,0.16639723771768888
115,0.1312018647387468
116,0.1842350427599739
117,0.14263983036963412
118,0.19474337778387335
119,0.1818785790694308
120,0.16126879935047023
121,0.16844211180424146
122,0.16214704525739806
123,0.18124119544732475
124,0.14097526363309176
125,0.14422019429578742
