,TCI_1,TCI_2,TCI_3,TCI_4,TCI_5,TCI_6
0,446.7858411270273,428.57142857142856,437.02670386608213,466.9593345656192,852.3550144184557,605.1787457579843
1,507.16297293988,503.9498411748075,960.1255886970172,492.6787252368647,498.37861209195074,891.5295551492993
2,822.6860735401943,479.70885601947197,531.5802408454166,844.1629955947137,492.1348314606741,506.1274137144594
3,680.7733428367784,668.3491548969669,462.7949183303086,718.7017001545595,956.7605198019803,1015.619576535925
4,488.5844748858448,490.8256880733945,487.9442868197059,501.5826166607298,496.3586755836376,496.30986541862114
5,524.9496998689274,878.5719654265314,516.8353023194468,826.0211800302573,481.5548678673998,480.97344139370944
6,423.5893416927899,463.33949476278497,462.7692307692308,826.3355259113542,597.272838950084,464.46248267669773
7,493.3128426648945,489.63215138385357,497.83818840188076,871.0152501306476,484.80273528562867,518.3838347649288
8,491.4405496681029,546.448087431694,995.4331382902811,847.6978704098327,491.78206959365747,489.0192408149052
9,466.6666666666666,434.9970408364569,449.38719927371767,1127.8053390030711,494.05650649618485,987.6078195035594
10,491.57814871016694,494.5982685841025,499.85226543316793,494.8247961977264,493.9869034126684,483.57279538157167
11,489.51867900222504,525.6549327547974,819.0343869399096,479.113601630158,628.6974832046526,524.3474278736071
12,495.18889247659024,496.8785800860051,985.0604462208828,492.97673895943365,477.9350541215654,486.5
13,845.6900053113382,479.02394317791277,486.26919004764426,483.4608061445122,494.26042715565217,500.31497303043426
14,880.0000000000001,929.5774647887324,1159.6638655462184,480.52380793708977,478.70776593926274,475.2794496990541
15,477.4315182433182,473.85800770500833,483.27031705539366,481.3738204910335,553.2344490176283,789.1200000000001
16,938.7502381405982,494.452786570018,484.31542658843404,472.9084751926181,477.26142579449385,505.0162178471751
17,455.12412476129856,408.8921282798834,734.653789490915,1275.3623188405797,916.6666666666667,478.26086956521743
18,938.898128586626,497.83075691841117,485.3056597191943,485.47798905965084,511.6170749082142,942.6523297491038
19,482.0100525370147,505.2709072504372,785.933215034683,523.6907730673316,503.75133976420153,469.66452533904356
20,1092.7967748202839,915.3912965347868,487.778958554729,484.22290455347223,490.5985782189879,490.53910862184546
21,480.2784222737819,496.48442633723215,498.86104783599086,500.8808530366249,507.15774982292675,494.5955091965921
22,505.611672278339,651.3788098693759,492.4148221835365,444.5442299057027,487.05171146148194,539.6972915560276
23,515.7526254375729,881.1342644909521,495.92032508056946,496.1020843591006,487.64401742458176,519.6078431372549
24,493.79021397575946,590.6040268456376,377.95275590551176,607.4788671856345,969.5950963316997,565.4056607487305
25,503.50144804006084,509.88660210244234,505.56869113865605,1004.2984786283507,499.8239380261852,491.56337645887993
26,938.6708223758968,484.41832094931794,486.62696264212235,488.3883101240411,493.2365319434347,500.3524447753785
27,499.3717701894822,540.8516042544935,870.253164556962,497.45488199907453,480.8793846489553,528.504718357817
28,470.0,409.20398009950253,718.5606060606061,995.6099631289956,554.5314259498685,847.8015783540021
29,503.4168564920273,497.410125177283,504.6253939209108,930.90815605116,487.33802832620904,475.9481220549888
30,786.7900641725236,483.937538694366,449.31799946509767,603.7312386028897,973.2764010269098,610.0109748532709
31,498.180279305967,494.85131760870007,507.6908227820334,883.538633818589,485.1936218678816,486.68718860080605
32,476.24633431085044,531.9045299561617,986.5827375946174,837.8206036559444,499.66129956750564,498.5344527795717
33,491.1780431295669,496.39586986167933,535.5191256830601,446.71623296158606,477.24829015773787,486.114867423218
34,480.0829178105216,518.0175236422835,858.1796693889302,485.26563669175584,522.4241742164199,795.1092331205609
35,900.4417261297996,471.72003532090906,472.47618820271657,467.1743408588087,476.63051408005447,477.7426073449984
36,729.9294040387457,539.2320534223705,426.6409266409267,511.4754098360655,513.048306496391,479.46558117040144
37,509.84936268829665,386.71874999999994,796.7806841046277,547.7539191147412,463.5875297407344,486.5904718795971
38,474.0695938642096,609.412977830154,393.52640545144806,490.78564500484964,335.49604270200626,1110.923197628803
39,428.5284381582908,400.9111617312073,400.32713146595785,443.40923804430435,441.8335471634964,505.24775631055655
40,464.27018211470516,413.2529441595762,407.6060458313018,448.4193011647255,464.98085943818404,441.5904741654263
41,421.74871418074946,436.8886818816954,474.46452243075424,476.06301077815937,481.85543205125305,516.1341195230293
42,546.0418022432339,811.8731325487115,552.0833333333334,400.97799511002444,372.72727272727275,852.3908523908523
43,360.7153682934223,440.19420332499635,451.9723270793282,457.3856535866033,467.4255267619278,472.8795549721857
44,482.8105456179339,475.72683912791626,471.99459222276244,462.4993947610517,417.39130434782606,392.27340267459135
45,457.54055412950856,473.33367227617066,465.6546212139672,488.8749608273269,476.8211920529802,422.53521126760563
46,484.2213210273622,474.233595135546,475.4657906893189,471.10133861692367,530.8817553839903,362.8750872295883
47,441.73293117630936,457.6683797673789,390.920117830532,389.0935887988209,495.97423510466984,842.2459893048128
48,451.87673433620563,435.47532058170356,412.636780797741,319.7616683217477,552.7369826435247,742.8958051420839
49,460.7216329748574,461.64484483449445,471.8517256486395,479.9054373522459,463.5260185073909,498.03407601572735
